EVENT_YEAR_MONTH,COUNT_OF_EVENTS,REPORTER,PARTNER,Commodity,NETWEIGHT,TRADEVALUEINUSD,TOTAL_SOLD_USD,PRODUCERPRICE,DISTANCE_COUNTRIES
201809,1363,Kazakhstan,Russian Federation,Slag,2471,47009,1.16159239E8,114.6,2822
201809,1363,Poland,Russian Federation,Gas,66166,314414,2.0803516724E10,210.7,4961
201809,1363,France,Russian Federation,CastIron,1,3617,3617.0,277.8,6217
201809,1363,France,Russian Federation,StainlessSteel,2892,35145,1.0163934E8,105.3,6217
201809,1363,Brazil,Russian Federation,CastIron,2,6,12.0,277.8,14442
201809,1363,Denmark,Russian Federation,StainlessSteel,12,353,4236.0,105.3,5027
201809,1363,EU,Russian Federation,Coal,140,198,27720.0,122.2291071,4927
201809,1363,EU,Russian Federation,SunflowerOil,4807,8920,4.287844E7,857.5451042,4927
201809,1363,EU,Russian Federation,Corn,605,480,290400.0,154.9450034,4927
201809,1363,EU,Russian Federation,RapeseedOil,40218,43106,1.733637108E9,841.173709,4927
201809,1363,EU,Russian Federation,StainlessSteel,75078,1066368,8.0060776704E10,105.3,4927
201809,1363,EU,Russian Federation,Aluminium,24304,86745,2.10825048E9,2026.4625,4927
201809,1363,EU,Russian Federation,CastIron,99996,675685,6.756579726E10,277.8,4927
201809,1363,EU,Russian Federation,Barley,56929,13415,7.63702535E8,95.43332011,4927
201809,1363,EU,Russian Federation,Gas,420065,3170659,1.331882872835E12,210.7,4927
201809,1363,Ukraine,Russian Federation,IronOre,50,86,4300.0,68.8,4663
201809,1363,Latvia,Russian Federation,Gas,60,1700,102000.0,210.7,4323
201809,1363,India,Russian Federation,CastIron,38068,139548,5.312313264E9,277.8,4983
201809,1363,India,Russian Federation,StainlessSteel,71261,841847,5.9990859067E10,105.3,4983
201809,1363,Belarus,Russian Federation,Gas,1716800,6974400,1.197364992E13,210.7,4403
201809,1363,Belarus,Russian Federation,Slag,1529700,64000,9.79008E10,114.6,4403
201809,1363,Belarus,Russian Federation,Barley,10000,3200,3.2E7,95.43332011,4403
201809,1363,Belarus,Russian Federation,Aluminium,38935,67700,2.6358995E9,2026.4625,4403
201809,1363,Belarus,Russian Federation,CastIron,76503,113900,8.7136917E9,277.8,4403
201809,1363,Belarus,Russian Federation,StainlessSteel,74949,119900,8.9863851E9,105.3,4403
201809,1363,Belarus,Russian Federation,SunflowerOil,21124,18000,3.80232E8,857.5451042,4403
201809,1363,Belarus,Russian Federation,RapeseedOil,11232800,8547900,9.601685112E13,841.173709,4403
201809,1363,Poland,Russian Federation,CastIron,12055,33594,4.0497567E8,277.8,4961
201809,1363,Poland,Russian Federation,StainlessSteel,11061,86227,9.53756847E8,105.3,4961
201809,1363,Turkey,Russian Federation,CastIron,1203,2079,2501037.0,277.8,5248
201809,1363,Turkey,Russian Federation,StainlessSteel,55108,334275,1.84212267E10,105.3,5248
201809,1363,Sweden,Russian Federation,StainlessSteel,1000,19983,1.9983E7,105.3,4345
201809,1363,Slovenia,Russian Federation,Gas,44589,327460,1.460111394E10,210.7,5645
201809,1363,Slovenia,Russian Federation,StainlessSteel,0,2,0.0,105.3,5645
201809,1363,Slovenia,Russian Federation,Corn,605,479,289795.0,154.9450034,5645
201809,1363,Romania,Russian Federation,CastIron,725,18804,1.36329E7,277.8,5177
201809,1363,Romania,Russian Federation,Gas,35100,120080,4.214808E9,210.7,5177
201809,1363,Rep. of Moldova,Russian Federation,StainlessSteel,253,969,245157.0,105.3,4883
201809,1363,Italy,Russian Federation,Gas,124226,1103813,1.37122273738E11,210.7,9398
201809,1363,Finland,Russian Federation,Coal,140,198,27720.0,122.2291071,3922
201809,1363,Finland,Russian Federation,RapeseedOil,40140,41727,1.67492178E9,841.173709,3922
201809,1363,Finland,Russian Federation,CastIron,1842,23765,4.377513E7,277.8,3922
201809,1363,Finland,Russian Federation,StainlessSteel,268,3330,892440.0,105.3,3922
201809,1363,Estonia,Russian Federation,CastIron,135,1709,230715.0,277.8,4180
201809,1363,Turkey,Russian Federation,Gas,311397,1666276,5.18873347572E11,210.7,5248
201809,1363,Hong Kong,Russian Federation,StainlessSteel,30,713,21390.0,105.3,4409
201809,1363,Czech Rep.,Russian Federation,StainlessSteel,470,5284,2483480.0,105.3,5306
201809,1363,Czech Rep.,Russian Federation,Gas,66596,231201,1.5397061796E10,210.7,5306
201809,1363,Ukraine,Russian Federation,CastIron,2127,9809,2.0863743E7,277.8,4663
201809,1363,Ukraine,Russian Federation,SunflowerOil,38936,36033,1.402980888E9,857.5451042,4663
201809,1363,Ukraine,Russian Federation,StainlessSteel,186,1103,205158.0,105.3,4663
201809,1363,Canada,Russian Federation,CastIron,0,18,0.0,277.8,6640
201809,1363,Lithuania,Russian Federation,Barley,54429,10154,5.52672066E8,95.43332011,4484
201809,1363,Lithuania,Russian Federation,CastIron,20987,71443,1.499374241E9,277.8,4484
201809,1363,Lithuania,Russian Federation,StainlessSteel,26738,373244,9.979798072E9,105.3,4484
201809,1363,Lithuania,Russian Federation,RapeseedOil,7,35,245.0,841.173709,4484
201809,1363,Lithuania,Russian Federation,SunflowerOil,2764,4858,1.3427512E7,857.5451042,4484
201809,1363,Lithuania,Russian Federation,Gas,1387,19152,2.6563824E7,210.7,4484
201809,1363,Estonia,Russian Federation,StainlessSteel,4433,42565,1.88690645E8,105.3,4180
201809,1363,Estonia,Russian Federation,Aluminium,2400,7710,1.8504E7,2026.4625,4180
201809,1363,Estonia,Russian Federation,SunflowerOil,763,1114,849982.0,857.5451042,4180
201809,1363,Estonia,Russian Federation,Gas,175,5277,923475.0,210.7,4180
201809,1363,Belgium,Russian Federation,CastIron,5,231,1155.0,277.8,5733
201809,1363,Belgium,Russian Federation,StainlessSteel,4407,66802,2.94396414E8,105.3,5733
201809,1363,United Arab Emirates,Russian Federation,CastIron,26,2061,53586.0,277.8,5727
201809,1363,Ukraine,Russian Federation,Gas,126919,276729,3.5122167951E10,210.7,4663
201809,1363,Chile,Russian Federation,Copper,8656080,53309130,4.614480940104E14,6050.7625,17122
201809,1363,United States of America,Russian Federation,CastIron,119,8988,1069572.0,277.8,8909
201809,1363,United States of America,Russian Federation,Gas,10641,75522,8.03629602E8,210.7,8909
201809,1363,United States of America,Russian Federation,Coal,20000,3435,6.87E7,122.2291071,8909
201809,1363,Finland,Russian Federation,Gas,40,1186,47440.0,210.7,3922
201809,1363,Serbia,Russian Federation,Gas,42170,438977,1.851166009E10,210.7,5540
201809,1363,Serbia,Russian Federation,CastIron,8384,24378,2.04385152E8,277.8,5540
201809,1363,Serbia,Russian Federation,StainlessSteel,874,8245,7206130.0,105.3,5540
201809,1363,Czech Rep.,Russian Federation,CastIron,5,124,620.0,277.8,5306
201809,1363,Sweden,Russian Federation,CastIron,1027,10494,1.0777338E7,277.8,4345
201809,1363,Georgia,Ukraine,Gas,11289,15075,1.70181675E8,210.7,1164
201809,1363,China,Ukraine,Gas,94819,467960,4.437149924E10,210.7,5943
201809,1363,China,Ukraine,StainlessSteel,454940,1862813,8.4746814622E11,105.3,5943
201809,1363,Netherlands,Ukraine,StainlessSteel,8,192,1536.0,105.3,2138
201809,1363,Netherlands,Ukraine,Nickel,31064,437680,1.359609152E10,154.4,2138
201809,1363,Netherlands,Ukraine,CastIron,135,604,81540.0,277.8,2138
201809,1363,Netherlands,Ukraine,IronOre,44000,8208,3.61152E8,68.8,2138
201809,1363,EU,Ukraine,IronOre,44000,8208,3.61152E8,68.8,803
201809,1363,EU,Ukraine,Barley,132525,117254,1.553908635E10,95.43332011,803
201809,1363,EU,Ukraine,Slag,139150,4218,5.869347E8,114.6,803
201809,1363,EU,Ukraine,Gas,200916,1320780,2.6536583448E11,210.7,803
201809,1363,Germany,Ukraine,Barley,49908,46939,2.342631612E9,95.43332011,1743
201809,1363,Germany,Ukraine,StainlessSteel,8636,97228,8.39661008E8,105.3,1743
201809,1363,Germany,Ukraine,Gas,2630,42520,1.118276E8,210.7,1743
201809,1363,Germany,Ukraine,CastIron,1106,7857,8689842.0,277.8,1743
201809,1363,Spain,Ukraine,CastIron,85,3754,319090.0,277.8,3767
201809,1363,Spain,Ukraine,StainlessSteel,564,9159,5165676.0,105.3,3767
201809,1363,Hungary,Ukraine,Gas,150,767,115050.0,210.7,1194
201809,1363,Slovakia,Ukraine,StainlessSteel,487,32143,1.5653641E7,105.3,1082
201809,1363,Slovakia,Ukraine,Gas,3557,21084,7.4995788E7,210.7,1082
201809,1363,Italy,Ukraine,StainlessSteel,1143,22526,2.5747218E7,105.3,2394
201809,1363,Hungary,Ukraine,CastIron,28974,97225,2.81699715E9,277.8,1194
201809,1363,Hungary,Ukraine,StainlessSteel,53,1124,59572.0,105.3,1194
201809,1363,Hungary,Ukraine,CrudePetroleum,279159,203159,5.6713663281E10,212.6,1194
201809,1363,Hungary,Ukraine,SunflowerOil,9,12,108.0,857.5451042,1194
201809,1363,Latvia,Ukraine,StainlessSteel,245,2227,545615.0,105.3,1320
201809,1363,Kazakhstan,Ukraine,StainlessSteel,0,74,0.0,105.3,3674
201809,1363,France,Ukraine,StainlessSteel,1011,12286,1.2421146E7,105.3,2687
201809,1363,EU,Ukraine,SunflowerOil,9,12,108.0,857.5451042,803
201809,1363,EU,Ukraine,Aluminium,488132,1214071,5.92626905372E11,2026.4625,803
201809,1363,EU,Ukraine,CastIron,55177,212371,1.1717994667E10,277.8,803
201809,1363,EU,Ukraine,Nickel,36570,514992,1.883325744E10,154.4,803
201809,1363,EU,Ukraine,StainlessSteel,30440,261049,7.94633156E9,105.3,803
201809,1363,EU,Ukraine,CrudePetroleum,279159,203438,5.6791548642E10,212.6,803
201809,1363,EU,Ukraine,Coal,3480,3287,1.143876E7,122.2291071,803
201809,1363,Latvia,Ukraine,Slag,139150,4218,5.869347E8,114.6,1320
201809,1363,India,Ukraine,StainlessSteel,8892,105052,9.34122384E8,105.3,7092
201809,1363,Belarus,Ukraine,Gas,196003,619700,1.214630591E11,210.7,791
201809,1363,Belarus,Ukraine,CastIron,237,4600,1090200.0,277.8,791
201809,1363,Belarus,Ukraine,StainlessSteel,20,200,4000.0,105.3,791
201809,1363,Belarus,Ukraine,Coal,22289300,1817100,4.050188703E13,122.2291071,791
201809,1363,Poland,Ukraine,Barley,4000,856,3424000.0,95.43332011,1214
201809,1363,Poland,Ukraine,Gas,42367,290553,1.2309858951E10,210.7,1214
201809,1363,Poland,Ukraine,Nickel,5506,76860,4.2319116E8,154.4,1214
201809,1363,Poland,Ukraine,Aluminium,488132,1206987,5.89168978284E11,2026.4625,1214
201809,1363,Poland,Ukraine,Coal,3480,3267,1.136916E7,122.2291071,1214
201809,1363,Poland,Ukraine,CastIron,24803,99432,2.466211896E9,277.8,1214
201809,1363,Poland,Ukraine,StainlessSteel,20570,92250,1.8975825E9,105.3,1214
201809,1363,Turkey,Ukraine,Aluminium,74560,174371,1.300110176E10,2026.4625,2055
201809,1363,Turkey,Ukraine,CastIron,18998,42913,8.15261174E8,277.8,2055
201809,1363,Turkey,Ukraine,StainlessSteel,29514,189091,5.580831774E9,105.3,2055
201809,1363,Slovenia,Ukraine,Gas,41990,377012,1.583073388E10,210.7,1610
201809,1363,Hungary,Ukraine,Barley,8000,4861,3.8888E7,95.43332011,1194
201809,1363,Romania,Ukraine,StainlessSteel,2,43,86.0,105.3,781
201809,1363,Romania,Ukraine,Gas,36350,145109,5.27471215E9,210.7,781
201809,1363,France,Ukraine,CastIron,1,490,490.0,277.8,2687
201809,1363,Rep. of Moldova,Ukraine,Barley,2450750,441836,1.082829577E12,95.43332011,353
201809,1363,Italy,Ukraine,CastIron,3,1235,3705.0,277.8,2394
201809,1363,Italy,Ukraine,Gas,29340,261066,7.65967644E9,210.7,2394
201809,1363,Finland,Ukraine,CastIron,2,316,632.0,277.8,2232
201809,1363,Turkey,Ukraine,Gas,81836,431368,3.5301431648E10,210.7,2055
201809,1363,Hong Kong,Ukraine,StainlessSteel,11,495,5445.0,105.3,7665
201809,1363,Portugal,Ukraine,StainlessSteel,11,231,2541.0,105.3,4104
201809,1363,Lithuania,Ukraine,StainlessSteel,34,1126,38284.0,105.3,1136
201809,1363,Russian Federation,Ukraine,Gas,21831,103042,2.249509902E9,210.7,4663
201809,1363,Russian Federation,Ukraine,Aluminium,554746,1122931,6.22941480526E11,2026.4625,4663
201809,1363,Russian Federation,Ukraine,Nickel,1415,24667,3.4903805E7,154.4,4663
201809,1363,Russian Federation,Ukraine,StainlessSteel,7025,47556,3.340809E8,105.3,4663
201809,1363,Russian Federation,Ukraine,CastIron,7066,29555,2.0883563E8,277.8,4663
201809,1363,Russian Federation,Ukraine,Coal,115287000,11458889,1.321060936143E15,122.2291071,4663
201809,1363,Russian Federation,Ukraine,Corn,44913,11988,5.38417044E8,154.9450034,4663
201809,1363,Russian Federation,Ukraine,SunflowerOil,1692380,1463691,2.47712137458E12,857.5451042,4663
201809,1363,Russian Federation,Ukraine,IronOre,324350000,23448061,7.60537858535E15,68.8,4663
201809,1363,Russian Federation,Ukraine,Barley,10000,2040,2.04E7,95.43332011,4663
201809,1363,Belgium,Ukraine,StainlessSteel,210,2934,616140.0,105.3,2248
201809,1363,United States of America,Ukraine,StainlessSteel,211,2558,539738.0,105.3,9153
201809,1363,United States of America,Ukraine,Gas,9186,65192,5.98853712E8,210.7,9153
201809,1363,Czech Rep.,Ukraine,Gas,44525,178524,7.9487811E9,210.7,1410
201809,1363,Czech Rep.,Ukraine,StainlessSteel,277,2541,703857.0,105.3,1410
201809,1363,Czech Rep.,Ukraine,Barley,48000,47083,2.259984E9,95.43332011,1410
202110,801,Belarus,Russian Federation,Steel,118033,80100,9.4544433E9,426.946,4403
202110,801,EU,Russian Federation,Steel,34038,102410,3.48583158E9,426.946,4927
202110,801,Belarus,Ukraine,Steel,47000,34200,1.6074E9,426.946,791
202110,801,EU,Ukraine,Wheat,326260,206101,6.724251226E10,294.0368183,803
202110,801,EU,Russian Federation,Wheat,10080,11533,1.1625264E8,294.0368183,4927
202110,801,Belarus,Ukraine,Wheat,289200,56100,1.622412E10,294.0368183,791
202110,801,Germany,Ukraine,Wheat,18000,16666,2.99988E8,294.0368183,1743
202110,801,Rep. of Moldova,Ukraine,Wheat,22000,8537,1.87814E8,294.0368183,353
202110,801,Georgia,Ukraine,Wheat,40000,10800,4.32E8,294.0368183,1164
202110,801,Slovenia,Russian Federation,Wheat,60,271,16260.0,294.0368183,5645
202110,801,Lithuania,Russian Federation,Wheat,20,30,600.0,294.0368183,4484
202110,801,United States of America,Russian Federation,Steel,1873,4014,7518222.0,426.946,8909
202110,801,EU,Ukraine,Steel,5100,14532,7.41132E7,426.946,803
202110,801,Hungary,Ukraine,Wheat,270000,179613,4.849551E10,294.0368183,1194
202110,801,Poland,Russian Federation,Wheat,10000,11266,1.1266E8,294.0368183,4961
202110,801,Slovenia,Russian Federation,Steel,21000,65068,1.366428E9,426.946,5645
202110,801,Poland,Ukraine,Wheat,38200,15017,5.736494E8,294.0368183,1214
202110,801,Belgium,Russian Federation,Steel,1,98,98.0,426.946,5733
202110,801,Lithuania,Russian Federation,Steel,4000,4670,1.868E7,426.946,4484
202110,801,Poland,Ukraine,Steel,1000,1455,1455000.0,426.946,1214
202110,801,Serbia,Ukraine,Wheat,22000,5904,1.29888E8,294.0368183,1650
202110,801,Serbia,Russian Federation,Steel,4000,6170,2.468E7,426.946,5540
202110,801,Germany,Russian Federation,Steel,9000,33280,2.9952E8,426.946,5417
202110,801,Russian Federation,Ukraine,Wheat,38000,20595,7.8261E8,294.0368183,4663
202110,801,Germany,Ukraine,Steel,2100,5221,1.09641E7,426.946,1743
202110,801,Hungary,Ukraine,Steel,2000,8097,1.6194E7,426.946,1194
202110,801,Russian Federation,Ukraine,Steel,10500,8152,8.5596E7,426.946,4663
202110,801,Netherlands,Russian Federation,Aluminium,30000,215775,6.47325E9,2934.39381,5555
202110,801,Poland,Russian Federation,Aluminium,20000,41074,8.2148E8,2934.39381,4961
202110,801,United States of America,Russian Federation,Aluminium,16,3376,54016.0,2934.39381,8909
202110,801,Georgia,Russian Federation,Copper,700,100,70000.0,9829.219048,4544
202110,801,Slovakia,Russian Federation,CastIron,1183,3657,4326231.0,364.675,5204
202110,801,Slovakia,Russian Federation,StainlessSteel,94,890,83660.0,131.353,5204
202110,801,Norway,Russian Federation,StainlessSteel,8,718,5744.0,131.353,4727
202110,801,Norway,Russian Federation,CastIron,8919,43669,3.89483811E8,364.675,4727
202110,801,China,Russian Federation,Gas,379290,2027014,7.6882614006E11,253.106,2853
202110,801,China,Russian Federation,CastIron,74136,137511,1.0194515496E10,364.675,2853
202110,801,China,Russian Federation,Aluminium,75632,350436,2.6504175552E10,2934.39381,2853
202110,801,China,Russian Federation,StainlessSteel,1802180,9454898,1.703942807764E13,131.353,2853
202110,801,Brazil,Russian Federation,StainlessSteel,2453,26328,6.4582584E7,131.353,14442
202110,801,Japan,Russian Federation,CastIron,69969,236893,1.6575166317E10,364.675,3627
202110,801,Turkey,Russian Federation,CastIron,57469,115073,6.613130237E9,364.675,5248
202110,801,Turkey,Russian Federation,StainlessSteel,117167,920965,1.07906706155E11,131.353,5248
202110,801,Turkey,Russian Federation,SunflowerOil,6,13,78.0,1735.490079,5248
202110,801,Turkey,Russian Federation,Gas,291610,1763565,5.1427318965E11,253.106,5248
202110,801,Lithuania,Russian Federation,StainlessSteel,10219,241470,2.46758193E9,131.353,4484
202110,801,Italy,Russian Federation,CastIron,16139,182190,2.94036441E9,364.675,9398
202110,801,Italy,Russian Federation,StainlessSteel,7187,218893,1.573183991E9,131.353,9398
202110,801,Italy,Russian Federation,Coal,9025,8376,7.55934E7,240.7321429,9398
202110,801,Belgium,Russian Federation,StainlessSteel,697,9964,6944908.0,131.353,5733
202110,801,Belgium,Russian Federation,CastIron,3,120,360.0,364.675,5733
202110,801,Italy,Russian Federation,Gas,193154,1612926,3.11543108604E11,253.106,9398
202110,801,Hungary,Russian Federation,StainlessSteel,4644,52215,2.4248646E8,131.353,5342
202110,801,Croatia,Russian Federation,StainlessSteel,125,3684,460500.0,131.353,5728
202110,801,EU,Russian Federation,Aluminium,107187,427410,4.581279567E10,2934.39381,4927
202110,801,EU,Russian Federation,Nickel,2210,77527,1.7133467E8,183.288,4927
202110,801,EU,Russian Federation,StainlessSteel,72158,1369206,9.8799166548E10,131.353,4927
202110,801,EU,Russian Federation,Coal,9025,8376,7.55934E7,240.7321429,4927
202110,801,EU,Russian Federation,RapeseedOil,20124,32536,6.54754464E8,1348.063867,4927
202110,801,EU,Russian Federation,Corn,1334,3217,4291478.0,239.6024509,4927
202110,801,EU,Russian Federation,SunflowerOil,2533,7064,1.7893112E7,1735.490079,4927
202110,801,EU,Russian Federation,Gas,705848,4777404,3.372121058592E12,253.106,4927
202110,801,EU,Russian Federation,CastIron,77350,587664,4.54558104E10,364.675,4927
202110,801,EU,Russian Federation,IronOre,39900,39917,1.5926883E9,114.4761905,4927
202110,801,Slovenia,Russian Federation,Gas,63861,544053,3.4743768633E10,253.106,5645
202110,801,Slovenia,Russian Federation,Corn,1330,3195,4249350.0,239.6024509,5645
202110,801,Uzbekistan,Russian Federation,Gas,10896,98496,1.073212416E9,253.106,3506
202110,801,Romania,Russian Federation,Gas,25967,119681,3.107756527E9,253.106,5177
202110,801,Romania,Russian Federation,CastIron,261,6150,1605150.0,364.675,5177
202110,801,Hong Kong,Russian Federation,StainlessSteel,2,16,32.0,131.353,4409
202110,801,Finland,Russian Federation,Gas,92,17634,1622328.0,253.106,3922
202110,801,Finland,Russian Federation,RapeseedOil,23722,31649,7.50777578E8,1348.063867,3922
202110,801,Sweden,Russian Federation,StainlessSteel,81,1154,93474.0,131.353,4345
202110,801,Sweden,Russian Federation,CastIron,33,231,7623.0,364.675,4345
202110,801,Netherlands,Russian Federation,IronOre,20400,31556,6.437424E8,114.4761905,5555
202110,801,Netherlands,Russian Federation,StainlessSteel,794,18345,1.456593E7,131.353,5555
202110,801,Netherlands,Russian Federation,CastIron,3085,102733,3.16931305E8,364.675,5555
202110,801,Netherlands,Russian Federation,RapeseedOil,124,888,110112.0,1348.063867,5555
202110,801,Germany,Russian Federation,Aluminium,36932,81210,2.99924772E9,2934.39381,5417
202110,801,Germany,Russian Federation,Gas,1077,36769,3.9600213E7,253.106,5417
202110,801,Germany,Russian Federation,SunflowerOil,5,267,1335.0,1735.490079,5417
202110,801,Germany,Russian Federation,Nickel,2000,67903,1.35806E8,183.288,5417
202110,801,Germany,Russian Federation,StainlessSteel,20812,397774,8.278472488E9,131.353,5417
